A	B	C	D	E11	E22	G12	G23	Mass	Load
40.46004	13.93104	16.9509	27.2886	135.44855	9.037413	5.15352	3.469954	0.903195	59.263
28.27044	12.1428	14.5701	28.7169	129.76623	8.263134	4.67736	3.071108	0.843714	37.649
42.74532	13.59252	14.1336	29.5635	154.75287	8.823168	4.5648	3.425221	0.908993	62.313
42.04728	10.20648	16.3161	34.0077	118.90199	7.474275	4.610976	2.992833	0.927867	46.557
39.4758	9.73032	14.35845	24.0879	145.14241	8.988732	4.651392	3.428941	0.868277	49.021
32.71464	9.37056	12.38775	31.7328	146.64639	7.985547	5.294928	2.851194	0.861395	41.148
33.15888	13.24332	17.79735	26.6802	159.6832	8.745246	4.469568	3.007744	0.872216	55.428
28.87344	12.70368	16.488	33.1347	159.09801	8.706285	4.951488	2.78783	0.872664	47.254
39.95208	11.08476	16.7922	35.9388	138.37311	6.933681	5.095776	2.888456	0.929919	51.817
34.90488	10.68264	17.3742	24.9342	154.83627	8.350776	4.862064	2.668542	0.866548	52.084
42.20568	9.86784	12.83745	31.521	150.07274	8.5212	4.403184	3.483005	0.903292	51.268
29.41308	13.88868	15.64155	31.8384	119.82078	7.367112	4.957296	2.79713	0.868181	38.183
36.93636	12.13224	14.88765	29.643	140.46228	6.88986	4.786992	3.031986	0.885406	48.652
28.36584	14.57652	16.0515	31.2564	144.05543	8.394597	4.579248	3.045006	0.864429	44.808
35.31744	10.30176	11.8851	31.9971	153.58249	8.569962	4.235808	3.072968	0.872533	43.273
28.74672	13.80408	14.2791	26.9181	143.80523	8.185212	5.494032	3.274251	0.840568	42.207
41.09472	12.51324	13.71045	31.1508	156.25685	9.315	4.732176	2.907118	0.904575	55.668
29.66724	11.21172	13.26075	34.8807	146.81319	8.360496	4.183872	3.427081	0.86723	41.427
39.98376	9.97368	17.8371	28.1085	130.26663	9.202977	4.893792	3.052477	0.901485	48.867
28.71504	10.52388	14.92725	34.2987	129.26444	7.566777	4.31664	2.799021	0.867031	37.332
40.84092	13.89936	15.05955	33.0288	133.94457	8.716005	4.169472	3.497916	0.918817	54.711
28.61964	13.61364	13.69725	36.1503	147.06478	7.576497	4.56192	3.2519	0.873077	42.801
32.0796	13.29624	12.70515	32.1558	140.96407	8.813448	5.341104	3.507216	0.867293	42.624
32.5242	11.68788	11.8455	33.1083	150.57453	7.250229	4.824528	3.455043	0.866866	42.848
37.8252	10.75668	18.3	30.1719	128.01066	7.381692	4.963056	3.453183	0.90365	47.914
41.72976	14.54472	14.30565	31.1241	145.39261	7.396353	4.258896	3.285442	0.913117	59.017
38.93616	14.4072	14.6892	25.9659	157.42723	8.287515	4.3224	3.013324	0.883145	55.666
41.44392	14.19564	13.8162	23.7702	136.36734	7.206408	4.971696	3.201587	0.88156	53.064
37.00008	10.3758	16.1838	24.8286	119.15219	7.532676	5.323776	3.229518	0.869464	42.724
43.60248	12.42852	14.79495	35.9121	136.28394	7.386552	4.426272	3.087879	0.938592	57.009
36.74592	12.4074	12.04395	32.9229	118.15	8.277714	4.775472	3.223938	0.885912	40.978
30.96864	13.75116	16.8318	26.9712	128.51245	9.159156	4.307952	3.302213	0.860907	44.694
33.19056	9.69864	17.33445	34.3515	125.0861	7.873524	4.302192	3.205307	0.895435	42.145
31.00032	11.3598	15.40335	24.6168	152.5803	7.493715	4.273344	3.490445	0.841577	43.226
33.381	10.00548	16.6731	23.7438	136.45074	7.070085	4.8072	3.294773	0.851348	43.73
43.5708	10.33344	16.69965	34.8276	142.71825	8.151111	4.535952	2.819512	0.939437	59.246
34.33356	12.20628	13.4724	26.4156	119.48718	8.832888	4.359936	3.464374	0.85595	39.277
30.01644	14.37552	12.52005	26.8917	141.79946	8.769627	5.1564	2.841863	0.839518	41.297
29.50848	10.93656	12.7713	31.23	130.93522	8.803647	5.072688	2.677873	0.849438	37.297
37.63476	14.5554	18.0354	32.4204	138.12291	8.170632	4.339728	3.225798	0.916584	58.73
30.8736	13.90992	17.63865	28.6113	122.24494	7.69824	4.264704	3.119561	0.870449	43.525
31.34952	13.56072	15.1653	23.7969	158.34602	8.418978	5.136192	2.903367	0.843227	50.24
31.88916	9.93144	16.2366	28.2408	143.88863	7.980687	5.488272	2.720746	0.860853	42.929
42.77736	10.78848	16.7658	29.6958	149.65435	9.144576	4.56768	3.436412	0.916287	60.945
31.79412	14.44956	12.4671	32.3145	156.59045	8.10729	5.104464	3.184785	0.867624	46.909
34.8732	13.64532	16.99065	32.4468	147.56518	7.259949	5.41032	3.477394	0.899012	54.312
35.73036	11.93124	15.23145	30.4101	137.37092	9.30042	4.847616	3.134472	0.884452	48.095
35.15868	10.01604	15.21825	29.2725	119.73738	7.045704	4.55904	3.309684	0.874646	40.107
41.4756	11.60316	13.28715	33.1875	127.42547	7.28433	4.512864	3.544509	0.911124	46.221
41.25348	14.01576	17.0832	25.9395	124.41751	8.535861	5.260272	2.908978	0.902223	55.874
42.33276	13.275	13.5252	26.6274	151.99511	7.011603	4.406112	2.882876	0.892856	56.445
43.41204	11.3916	14.01465	33.3993	148.23377	6.972642	5.026512	3.341366	0.922973	56.313
35.50788	11.73024	14.1072	24.7491	155.92186	7.420653	5.16216	2.659242	0.856365	50.659
39.5712	14.49192	12.95655	25.728	120.57277	8.638083	5.141952	3.000304	0.877787	44.557
37.25388	9.76212	13.84275	32.6586	134.36157	7.907625	4.08288	3.343226	0.891042	44.219
36.20628	13.03164	12.79785	36.0444	131.60381	8.044029	4.09152	3.263091	0.900152	45.28
33.09552	11.14824	17.2683	29.9073	125.92149	8.91567	5.208336	2.687173	0.87874	44.44
42.07896	14.50248	16.60695	33.3726	128.26225	8.414118	5.306448	3.190396	0.932971	59.247
38.2698	9.6774	12.0174	28.2939	127.67706	8.691705	4.613856	3.376768	0.869876	40.819
31.76208	9.77268	16.24995	29.8545	147.31498	6.909381	4.420512	2.931329	0.866633	42.62
36.84132	13.01052	17.5725	33.1611	123.24713	7.245369	5.462304	3.240709	0.911615	48.001
32.58756	13.7724	16.3293	34.6953	158.17922	8.677044	4.241616	3.292882	0.895547	54.596
32.01624	10.0584	16.197	31.9179	148.81896	8.974152	4.354128	3.535178	0.876185	44.314
34.26984	14.38608	13.0623	25.2783	143.47024	7.147926	4.31952	3.158714	0.853881	46.878
34.7778	11.10588	13.221	33.9813	135.95034	9.183537	4.69176	3.55756	0.884962	42.68
29.00052	11.23284	16.85835	36.2826	144.39042	7.220988	4.631184	3.145663	0.88535	42.958
36.5238	14.02632	13.6839	23.691	137.45432	7.888185	5.017872	2.722606	0.859486	47.37
29.826	13.51836	17.45355	33.267	146.228	7.552116	4.5504	3.512827	0.882585	49.884
38.74572	11.03184	12.1233	34.4574	131.43701	8.89137	5.375712	3.315264	0.898953	45.967
30.04812	11.52912	15.53565	34.5366	158.51282	7.71282	4.31088	2.78411	0.877522	45.705
33.79392	14.51304	14.385	32.685	121.99474	7.946586	5.421888	3.276111	0.885777	44.403
41.53932	10.47108	14.02785	30.7539	127.92726	7.109046	5.173728	2.698364	0.903216	46.247
39.1266	10.36524	16.11765	31.4418	134.77996	7.065144	4.305072	2.661102	0.90447	47.669
36.68256	10.82016	13.40625	36.309	159.5164	7.654419	5.139072	3.140083	0.902881	52.94
38.96784	12.56604	12.18945	29.1402	120.32257	8.08785	4.91112	2.676013	0.881327	42.501
31.85748	9.74088	17.90325	33.0552	143.63843	8.155971	4.267584	2.79341	0.886964	45.414
31.92084	14.2062	15.4695	27.5532	123.66552	8.589402	5.40456	2.866105	0.862245	43.919
30.11148	13.68768	17.32125	24.1935	144.64062	8.711145	5.014992	3.361857	0.848846	49.424
41.3172	10.926	12.81105	27.0504	159.01461	7.225848	4.977456	3.086019	0.883067	53.526
41.63436	14.12148	12.3348	31.6533	143.38684	8.789067	5.315088	3.181065	0.905653	53.192
28.7784	12.88356	18.08835	31.3359	123.58212	8.730666	4.833168	3.041286	0.872239	42.006
38.8728	12.23808	13.3137	26.9976	148.90236	9.110475	5.219856	3.520267	0.87682	51.878
42.45984	12.21696	16.40865	35.3037	122.74673	7.810263	4.934208	3.41031	0.937858	54.133
38.7774	11.43396	14.00145	36.4941	155.42146	8.477379	4.414752	2.778499	0.915796	53.86
41.95188	9.9102	14.47755	30.1191	147.64858	9.071514	4.18968	2.981642	0.903565	51.469
40.68216	11.0742	17.77095	35.2245	122.41174	8.681904	5.012112	2.869825	0.934259	51.708
32.01624	10.67208	12.21585	27.5001	146.47959	8.701425	4.460928	3.509076	0.84249	40.571
42.14232	11.53968	14.62305	23.6115	153.33229	8.774487	5.03808	2.860525	0.881982	55.093
42.5232	13.26444	11.89845	25.0137	135.11356	8.11701	4.44936	3.089739	0.880662	47.711
42.65028	13.1904	17.1096	25.6485	145.30921	8.384877	4.227168	3.356277	0.905533	61.835
35.69832	12.33336	16.14405	27.1035	156.50705	7.128486	4.137696	2.925749	0.875937	52.506
34.61904	13.38084	17.94285	26.9448	125.4197	7.829703	4.90824	2.664822	0.880287	46.629
30.61944	9.7938	15.98535	30.4365	126.92507	7.605738	5.349744	3.460623	0.863041	38.41
37.44432	13.10568	16.55415	29.0079	158.93121	7.537536	4.230048	3.479254	0.893782	56.126
40.2696	13.074	12.7449	35.3304	153.83269	8.302095	5.228544	2.772919	0.914372	55.068
37.06344	10.97892	12.9036	31.0449	138.62331	9.032553	4.4292	2.63686	0.881346	45.58
28.30212	11.61384	15.19185	26.0454	157.09224	8.009928	4.43784	2.899647	0.835202	43.581
31.50828	12.65076	11.91165	25.86	158.01103	8.574822	4.914	3.214607	0.836038	44.098
39.34908	10.58736	11.77935	36.1239	140.04528	7.610598	4.636944	3.182925	0.906256	46.982
33.00012	14.03688	14.76855	27.0771	131.10341	7.040844	5.465184	2.936909	0.861726	45.404
39.66624	9.3918	16.0647	31.0185	153.66589	7.118766	5.130432	3.117701	0.903578	53.925
33.2226	10.98948	13.86915	34.6425	150.15614	7.031124	4.146384	3.227658	0.883633	43.597
32.96844	11.7408	13.11525	30.7275	143.97203	7.571637	4.08576	2.707695	0.864736	41.165
42.49152	11.33868	12.36135	32.3412	138.7915	7.328151	4.4436	2.690924	0.907749	48.437
43.6662	12.04764	17.9958	29.7486	135.86555	7.162587	4.68312	2.961151	0.927392	59.942
37.2222	12.74592	15.6018	23.5851	148.06697	9.30528	4.544592	3.235129	0.867512	51.509
29.63556	9.83616	15.3108	28.6377	141.54926	8.146251	4.094448	3.169905	0.848831	39.779
37.09512	11.77248	16.2234	25.7544	139.37669	9.31014	4.596576	2.692784	0.876004	48.894
41.76144	10.23828	13.9353	32.8965	156.34025	7.464474	4.290672	3.069248	0.912097	53.825
41.06304	11.00004	15.68115	25.437	125.58789	8.842608	5.335296	2.750537	0.887967	46.942
30.23856	12.77772	15.94575	28.3995	120.15577	8.886429	5.04672	3.503496	0.857733	38.593
