A	B	C	D	MeanMass	MeanLoad	ReliableLoad	SDLoad
28.86561638	11.67091	12.17175	24.8208	0.820100224	38.80864637	33.83794557	1.656912976
28.8671	13.1387	11.99329	26.413	0.828002258	40.04544206	34.93401941	1.703820614
28.8685	10.47942	12.26458	27.1956	0.827826926	38.68308148	33.7744043	1.636238275
28.87	10.02158	14.91333	26.9102	0.837414491	40.21569422	35.04264251	1.724363796
28.8714	10.63453	16.46857	29.792	0.856899184	41.82753771	36.51826475	1.769771226
28.8729	9.72881	12.64844	31.8519	0.847372782	39.36995776	34.3812638	1.66291074
28.8743	10.90933	14.18332	29.8043	0.847228406	40.71153174	35.53592497	1.725215485
28.8757	12.47538	15.83198	30.0775	0.858462622	42.95040832	37.23907744	1.903791558
28.8772	11.61306	11.934	36.0319	0.863536277	40.461698	35.47747628	1.661419981
28.8786	12.89232	14.86842	33.3949	0.867805767	42.60861842	36.92766259	1.893666464
28.8801	12.12327	14.17254	26.589	0.836579855	40.70794183	35.38993895	1.772681225
28.8815	12.89681	13.02213	28.7325	0.841198377	40.83748085	35.5886772	1.749614632
28.883	11.37466	12.47238	27.0123	0.829416199	39.36146685	34.45408987	1.635804869
28.8844	13.18608	14.63786	34.4335	0.871308547	42.83069467	37.15824085	1.890832441
28.8859	14.08332	13.35091	24.4208	0.828681067	41.18482325	35.61390261	1.856987787
28.8873	11.74921	14.13901	24.3519	0.827103654	40.14687667	34.85299264	1.764641543
28.8888	11.43899	15.12054	33.7284	0.86820483	42.0344137	36.5781356	1.818773315
28.8902	9.59964	17.83517	32.6665	0.872556005	42.82490112	37.23462224	1.863440588
28.8917	10.55124	15.81282	32.6099	0.865541811	41.90054665	36.58560931	1.771659366
28.8931	10.91781	15.61699	23.8708	0.830067548	40.49161951	35.05333854	1.812774228
28.8946	13.31925	17.2938	32.9827	0.877539574	47.87540105	42.03714812	1.946099235
28.896	13.87584	13.02094	26.9938	0.836450391	41.13907463	35.6890207	1.816698574
28.8975	12.42002	13.42337	29.8597	0.846541206	40.99325079	35.7684025	1.741629453
28.8989	12.23947	16.32485	24.6042	0.838913282	42.61026873	36.9160952	1.898072404
28.9004	12.91028	12.59575	33.4798	0.858505731	41.47312052	36.27994956	1.731070265
28.9018	11.3981	12.02563	28.0152	0.831545691	39.19088556	34.28799505	1.634309367
28.9032	12.99407	16.27873	35.0561	0.881002323	45.6619741	39.93011581	1.910634082
28.9047	13.55315	16.85304	34.0496	0.880420932	47.57730291	41.76613722	1.937070086
28.9061	13.06688	13.15268	26.5816	0.834018483	40.7198295	35.40452384	1.771782141
28.9076	11.9507	14.10847	28.9024	0.845270235	40.98800186	35.66553774	1.77416831
28.909	10.31384	17.46148	25.4409	0.843781864	41.9886624	36.45817622	1.843509532
28.9105	12.3462	14.53845	24.4738	0.830755134	40.6890496	35.18020443	1.836295808
28.9119	13.76861	15.76132	34.8838	0.879097276	45.77666153	40.00204681	1.924886335
28.9134	11.26045	14.75464	34.5012	0.869493634	41.78536322	36.36473077	1.80689134
28.9148	12.51977	14.75404	26.3872	0.839293561	41.17293264	35.62593584	1.849013113
28.9163	11.53725	16.27095	30.6054	0.86101778	42.56707688	37.07145262	1.8318888
28.9177	10.44999	16.94347	31.7953	0.867142483	42.30369188	36.85899376	1.814913292
28.9192	11.65096	12.13462	25.8162	0.823996438	39.0079441	34.06020052	1.64926051
28.9206	11.1996	14.36178	34.7559	0.868706207	41.56883932	36.20315974	1.788573577
28.9221	11.61904	13.75574	24.1132	0.824401362	39.84969524	34.64152338	1.736070602
28.9235	13.99255	12.85805	30.9524	0.851224753	41.74985853	36.31494155	1.811652885
28.925	12.7447	14.66421	26.1349	0.838614453	41.25809023	35.64744415	1.870229701
28.9264	9.97918	17.77109	25.2034	0.843547052	42.28845578	36.77817784	1.836773401
28.9279	12.86739	15.56489	35.2099	0.878216523	44.10208831	38.39282971	1.903100795
28.9293	10.78764	15.54872	32.1681	0.862984049	41.94646481	36.62531032	1.773731767
28.9307	11.73425	17.11474	31.2932	0.867831199	43.8278537	38.15472044	1.891058924
28.9322	13.52273	13.75214	26.1632	0.836277701	41.29469785	35.73174324	1.854332427
28.9336	11.45196	16.07213	25.5062	0.839748175	41.57733081	36.0695032	1.835956617
28.9351	10.56171	17.18421	30.6952	0.863860988	42.46482968	36.95025563	1.838205447
28.9365	9.76871	17.06025	27.9905	0.851382536	41.30340579	35.94017164	1.787758426
28.938	12.228	16.99078	24.6608	0.842089161	43.43962777	37.68960594	1.916688644
28.9394	13.05342	14.87021	24.854	0.835468952	41.57264381	35.81515573	1.919177413
28.9409	13.75115	16.12962	34.9171	0.881034236	46.58684062	40.79568434	1.93040023
28.9423	10.58565	12.32207	31.4261	0.845653922	39.60363965	34.61857175	1.661702044
28.9438	12.34221	16.39611	25.1555	0.841706135	42.94169714	37.23854879	1.901064029
28.9452	13.32373	16.30868	31.1234	0.865829229	45.12799064	39.36986648	1.919389441
28.9467	11.97315	14.86542	24.9069	0.833020297	40.75354499	35.28903861	1.821516095
28.9481	9.63405	12.87242	33.1279	0.853616001	39.65565737	34.6574637	1.666077335
28.9496	10.94873	17.15007	35.6837	0.884149949	43.67836695	38.12255335	1.85195207
28.951	14.04292	17.53334	33.6632	0.882090796	49.81837912	43.92287394	1.965183463
28.9525	10.76719	13.78209	32.0377	0.854821047	40.82284877	35.62640922	1.732159799
28.9539	11.38513	17.7663	34.0668	0.88091275	45.1087682	39.40740651	1.900468472
28.9554	11.3567	12.57119	33.5229	0.856131933	40.6423385	35.62421617	1.672720271
28.9568	10.27593	12.62449	35.2505	0.861881622	40.15853654	35.19320915	1.655121821
28.9582	10.62006	15.26426	24.2929	0.829930507	40.20036461	34.8419534	1.78615077
28.9597	10.81308	12.6173	28.8384	0.836703796	39.54548758	34.6167992	1.642908722
28.9611	12.03798	16.30808	30.0369	0.860033081	43.11352213	37.46622799	1.882445819
28.9626	13.54119	12.11127	25.767	0.827191918	40.36668608	35.16643444	1.733430506
28.964	14.0095	14.7714	25.9393	0.841206025	42.76428672	36.86208609	1.967415301
28.9655	14.03394	11.90107	30.4368	0.845447659	41.40841815	36.1034382	1.768340211
28.9669	11.73275	12.54245	27.9327	0.834261963	39.84527336	34.89389148	1.650473283
28.9684	13.16264	13.48326	24.8749	0.829622365	40.74025524	35.30875361	1.810514431
28.9698	11.24299	14.89417	32.5028	0.862292276	41.7248723	36.32501626	1.79996582
28.9713	12.20406	13.86772	27.0246	0.837509809	40.73094531	35.43127044	1.766571839
28.9727	13.02998	15.03251	32.3515	0.864947786	42.83359605	37.11742577	1.905404705
28.9742	11.93823	14.95346	35.1656	0.874291639	42.41362991	36.85647354	1.852399666
28.9756	12.40655	16.44402	32.6369	0.871661652	44.31968907	38.6597316	1.886666957
28.9771	11.57415	13.64734	35.2259	0.868232672	41.51116042	36.2184096	1.764263804
28.9785	9.8914	13.73837	31.0508	0.849516466	40.24182454	35.13866812	1.701065187
28.98	10.68241	12.05977	34.3695	0.856558792	39.9020529	34.95187602	1.650071618
28.9814	11.41156	15.13072	28.1198	0.845842669	41.27099071	35.8880222	1.794336602
28.9829	12.57662	16.60272	33.9204	0.877699767	45.28442905	39.60278834	1.893894759
28.9843	10.94973	13.37187	25.8507	0.828600359	39.61158372	34.59485461	1.672255861
28.9857	10.79612	14.1953	31.1566	0.853161326	40.95985741	35.72607849	1.74460635
28.9872	14.1297	13.28982	28.0176	0.842407375	41.55173975	35.97607264	1.858569955
28.9886	9.93978	17.53574	31.7374	0.86858573	42.59414636	37.03140028	1.854262913
28.9901	12.72375	13.15508	31.815	0.854085886	41.41121036	36.19760304	1.737882433
28.9915	11.27641	13.62578	32.6505	0.857424746	41.07322342	35.85208503	1.740392809
28.993	9.86846	14.98639	32.2087	0.859508498	41.01903429	35.73904196	1.760010944
28.9944	9.86347	17.55969	31.954	0.869457189	42.61493012	37.05019396	1.85492628
28.9959	10.02257	15.54034	24.5857	0.831334727	39.9288871	34.61089563	1.772677418
28.9973	12.84644	14.52647	35.2272	0.874092049	42.71505423	37.07302508	1.880690806
28.9988	14.02796	16.62607	25.34	0.846048522	45.99159342	40.14632612	1.948437375
29.0002	11.94771	12.60593	30.614	0.84596675	40.46656641	35.39332677	1.691092851
29.0017	10.71433	14.16356	35.7317	0.87132335	41.24349115	35.96819437	1.758445743
29.0031	13.94217	12.57838	35.3219	0.867704277	42.34828498	36.92072794	1.809199559
29.0046	10.64749	14.8768	35.9175	0.875117625	41.55993358	36.17141059	1.796188105
29.006	11.10783	17.46268	24.7359	0.842858671	42.81617978	37.16876276	1.882486778
29.0075	9.95724	16.17214	32.2136	0.865183282	41.58020093	36.24863798	1.777201279
29.0089	9.93031	14.68577	28.1185	0.841809544	40.31153105	35.13029954	1.727090416
29.0104	13.13471	17.61359	35.4782	0.88889936	48.85593345	42.98206556	1.957970978
29.0118	11.72627	17.2932	26.1485	0.84865957	43.47649212	37.7501807	1.908785114
29.0132	13.97559	14.24141	27.9647	0.846632547	42.25826047	36.47347698	1.92827595
29.0147	13.87684	13.5108	31.105	0.854744279	41.90358658	36.33531958	1.856103237
29.0161	12.05494	15.23073	29.8326	0.854701479	41.99199834	36.38311419	1.86964239
29.0176	10.78964	17.00455	28.4569	0.855010396	42.31603572	36.80504364	1.837011451
29.019	11.18065	14.74745	26.0833	0.835890923	40.63280781	35.34112153	1.763908956
29.0205	10.77667	12.8844	31.7522	0.850067115	40.22609317	35.16615416	1.686659272
29.0219	10.5672	14.83848	31.1763	0.855723316	41.31976394	36.04346622	1.758779394
29.0234	12.18012	17.47765	28.0164	0.857462504	44.93527504	39.13833143	1.932329358
29.0248	10.1303	15.04149	25.8052	0.834408105	40.14295567	34.9001658	1.747610028
29.0263	11.34124	13.92641	35.456	0.870245431	41.53016482	36.20749132	1.774238102
