"Status Code/Type"	"Row Name"	"Run #"	abaqus_sim_end	abaqus_sim_start	panel__stiffener__Shell_extrude_1__A_sketch	panel__stiffener__Shell_extrude_1__B_sketch	panel__stiffener__Shell_extrude_1__C_sketch	panel__stiffener__Shell_extrude_1__D_sketch	panel__T800M21GPa__elastic_table[0,0]	panel__T800M21GPa__elastic_table[0,1]	panel__T800M21GPa__elastic_table[0,2]	panel__T800M21GPa__elastic_table[0,3]	panel__T800M21GPa__elastic_table[0,4]	panel__T800M21GPa__elastic_table[0,5]	abaqus_sim_time	buckle__Mass	Eigval
OK	Task[1].DOE[1]/Subflow[6]	6	502051.592	501954.935	35.0856	13.1016	18.0675	29.436	151.6768	8.17938	0.33	5.10048	5.10048	2.6629	96.65700000000652	0.891847	55.229
OK	Task[1].DOE[1]/Subflow[8]	8	502033.002	501954.774	34.9272	14.5068	16.575	29.172	118.15	7.93476	0.33	4.94112	4.94112	3.37342	78.2280000000028	0.886374	44.911
OK	Task[1].DOE[1]/Subflow[11]	11	502034.906	501954.888	40.0212	12.2256	15.315	26.982	156.2916	9.21699	0.33	4.23936	4.23936	2.9574	80.01800000004005	0.890091	54.659
OK	Task[1].DOE[1]/Subflow[17]	17	502063.697	501973.4	38.5056	12.3048	15.0495	27.978	159.6415	9.13194	0.33	5.0784	5.0784	3.39202	90.29699999996228	0.886532	56.12
OK	Task[1].DOE[1]/Subflow[18]	18	502049.992	501977.67	35.8812	14.4012	16.443	29.37	159.016	7.32483	0.33	4.99152	4.99152	3.30801	72.32200000004377	0.890414	57.296
OK	Task[1].DOE[1]/Subflow[19]	19	502045.388	501985.319	42.6456	11.4564	14.8845	27.711	118.984	7.6302	0.33	4.70208	4.70208	3.45278	60.06899999995949	0.900931	46.925
OK	Task[1].DOE[1]/Subflow[20]	20	502117.669	502033.096	41.5332	14.0568	15.6465	25.656	138.0548	7.01946	0.33	4.536	4.536	3.35482	84.57299999997485	0.896346	57.439
OK	Task[1].DOE[1]/Subflow[21]	21	502113.42	502034.997	34.5276	13.818	13.623	35.406	122.3478	9.00963	0.33	4.69488	4.69488	2.98096	78.42300000000978	0.895173	43.515
OK	Task[1].DOE[1]/Subflow[22]	22	502162.954	502045.47	36.756	11.376	17.2725	23.931	137.2208	8.83872	0.33	4.5648	4.5648	2.70041	117.48400000005495	0.871298	48.342
OK	Task[1].DOE[1]/Subflow[23]	23	502110.302	502050.079	31.9788	13.8708	17.9355	24.063	139.5282	7.6545	0.33	4.6008	4.6008	3.44348	60.22299999999814	0.859271	49.324
OK	Task[1].DOE[1]/Subflow[24]	24	502120.225	502051.68	36.9936	12.6768	17.769	33.282	120.6659	7.39773	0.33	5.31744	5.31744	2.92485	68.5449999999837	0.913061	46.945
OK	Task[1].DOE[1]/Subflow[25]	25	502146.655	502063.792	30.3876	13.3668	14.8515	23.664	148.3269	8.89947	0.33	4.36944	4.36944	3.23795	82.86300000001211	0.836923	43.303
OK	Task[1].DOE[1]/Subflow[26]	26	502149.92	502084.582	30.708	11.5356	13.2585	28.839	124.8498	7.04376	0.33	4.24656	4.24656	2.86409	65.33799999998882	0.847987	35.687
OK	Task[1].DOE[1]/Subflow[27]	27	502175.426	502094.58	33.0156	13.8972	15.7455	31.095	147.7014	7.53219	0.33	4.0872	4.0872	3.43418	80.84599999996135	0.881025	50.304
OK	Task[1].DOE[1]/Subflow[28]	28	502202.185	502104.595	39.222	11.562	18.267	34.146	146.645	8.06922	0.33	4.32624	4.32624	2.79868	97.59000000002561	0.926467	57.379
OK	Task[1].DOE[1]/Subflow[29]	29	502195.642	502110.389	28.3968	12.9684	14.121	35.007	153.1502	7.20252	0.33	4.83264	4.83264	3.27515	85.25299999996787	0.868432	44.167
OK	Task[1].DOE[1]/Subflow[34]	34	502213.588	502124.582	35.9604	14.4804	17.604	29.106	146.8535	8.94888	0.33	4.65888	4.65888	3.2798	89.00599999999395	0.894817	55.32
OK	Task[1].DOE[1]/Subflow[38]	38	502209.975	502150.035	30.3084	14.322	13.8555	26.649	140.3622	6.99516	0.33	4.66608	4.66608	3.16789	59.94000000000233	0.845403	41.206
OK	Task[1].DOE[1]/Subflow[44]	44	502296.107	502195.746	41.85	9.864	17.106	29.634	135.1219	7.09236	0.33	5.19456	5.19456	3.21904	100.36100000003353	0.912262	52.223
OK	Task[1].DOE[1]/Subflow[50]	50	502284.056	502202.353	42.408	11.5092	15.1155	36.534	130.938	7.82541	0.33	5.30304	5.30304	3.24725	81.70299999997951	0.936167	53.115
OK	Task[1].DOE[1]/Subflow[57]	57	502283.087	502213.269	29.9916	11.5884	16.8735	36.468	136.3868	7.73955	0.33	4.91952	4.91952	2.72862	69.8180000000284	0.890817	42.059
OK	Task[1].DOE[1]/Subflow[59]	59	502302.892	502214.241	42.804	9.9972	16.7415	28.971	121.4999	8.42319	0.33	4.90512	4.90512	2.85479	88.65100000001257	0.91228	49.911
OK	Task[1].DOE[1]/Subflow[60]	60	502268.211	502214.438	36.198	9.3864	15.978	33.018	129.4646	7.45929	0.33	4.46352	4.46352	2.72366	53.772999999986496	0.896634	44.446
OK	Task[1].DOE[1]/Subflow[62]	62	502287.863	502217.407	28.1592	12.3852	11.8665	33.351	133.4539	8.21583	0.33	5.0712	5.0712	3.12108	70.45600000000559	0.850425	37.806
OK	Task[1].DOE[1]/Subflow[63]	63	502297.666	502217.468	39.4632	10.8984	13.458	30.63	152.0938	9.16839	0.33	5.34624	5.34624	2.69576	80.19800000003306	0.892098	52.511
OK	Task[1].DOE[1]/Subflow[64]	64	502294.936	502219.105	31.104	13.074	13.026	25.986	124.0158	7.7031	0.33	5.31024	5.31024	3.40132	75.83100000000559	0.840324	37.069
OK	Task[1].DOE[1]/Subflow[65]	65	502292.194	502220.052	38.7468	10.8456	12.4965	32.886	149.9949	7.14177	0.33	5.41872	5.41872	3.16324	72.14199999999255	0.89396	50.589
OK	Task[1].DOE[1]/Subflow[66]	66	502275.939	502221.391	42.966	13.7376	12.33	35.208	128.0051	7.80111	0.33	4.78176	4.78176	2.99026	54.54800000000978	0.924559	50.642
OK	Task[1].DOE[1]/Subflow[67]	67	502280.857	502222.81	28.9548	11.1648	16.044	25.524	143.9206	7.28757	0.33	4.16688	4.16688	3.18649	58.04700000002049	0.838791	40.627
