Run #	"panel__T800M21GPa__elastic_table[0,0]"	Status Code/Type	Row Name	abaqus_sim_end	abaqus_sim_start	panel__stiffener__Shell_extrude_1__A_sketch	panel__stiffener__Shell_extrude_1__B_sketch	panel__stiffener__Shell_extrude_1__C_sketch	panel__stiffener__Shell_extrude_1__D_sketch	"panel__T800M21GPa__elastic_table[0,1]"	"panel__T800M21GPa__elastic_table[0,2]"	"panel__T800M21GPa__elastic_table[0,3]"	"panel__T800M21GPa__elastic_table[0,4]"	"panel__T800M21GPa__elastic_table[0,5]"	abaqus_sim_time	buckle__Mass	Eigval
8	147.4929	OK	Task[1].DOE[1]/Subflow[8]	504059.332	503959.651	30.15	12.252	17.3715	26.85	9.10764	0.33	5.36784	5.36784	3.07427	99.681	0.856498	48.302
13	118.7755	OK	Task[1].DOE[1]/Subflow[13]	504022.191	503959.38	37.5516	11.6424	11.9655	29.703	8.38674	0.33	4.26816	4.26816	3.13503	62.811	0.87509	39.904
16	156.0831	OK	Task[1].DOE[1]/Subflow[16]	504057.96	503959.384	39.1428	13.3128	14.154	31.956	8.00847	0.33	4.19568	4.19568	2.65825	98.576	0.902623	54.202
17	149.1609	OK	Task[1].DOE[1]/Subflow[17]	504093.287	503976.373	43.5204	14.2416	13.3245	28.044	7.47144	0.33	4.93392	4.93392	2.84518	116.914	0.904246	60.649
18	125.9062	OK	Task[1].DOE[1]/Subflow[18]	504054.527	503977.708	34.128	14.1096	17.172	34.677	8.46045	0.33	4.14528	4.14528	3.2426	76.819	0.906111	47.005
19	147.9099	OK	Task[1].DOE[1]/Subflow[19]	504045.018	503978.2	43.92	10.74	14.718	28.176	8.09352	0.33	4.67328	4.67328	2.63965	66.818	0.906339	56.572
20	118.567	OK	Task[1].DOE[1]/Subflow[20]	504047.054	503980.061	32.1408	10.4208	13.3245	29.568	8.24013	0.33	4.96272	4.96272	2.67251	66.993	0.85557	35.068
21	134.2879	OK	Task[1].DOE[1]/Subflow[21]	504069.69	503980.907	34.3692	11.1372	15.78	24.993	6.9336	0.33	4.89024	4.89024	3.49959	88.783	0.858519	45.069
22	142.4611	OK	Task[1].DOE[1]/Subflow[22]	504049.998	503982.711	42.5664	10.2096	15.6135	24.726	7.23897	0.33	4.34784	4.34784	3.15828	67.287	0.889972	51.26
23	139.7367	OK	Task[1].DOE[1]/Subflow[23]	504087.612	504022.28	29.6712	11.9076	14.3865	32.685	9.08334	0.33	5.17968	5.17968	2.68646	65.332	0.864169	41.402
24	158.8075	OK	Task[1].DOE[1]/Subflow[24]	504090.332	504045.127	40.9752	10.554	12.993	31.425	8.53335	0.33	4.28976	4.28976	3.34056	45.205	0.899245	53.559
26	143.0866	OK	Task[1].DOE[1]/Subflow[26]	504111.676	504050.09	33.174	12.1728	11.733	29.901	9.315	0.33	4.44912	4.44912	3.06497	61.586	0.85716	41.078
27	128.2136	OK	Task[1].DOE[1]/Subflow[27]	504116.554	504054.622	34.6068	14.0028	12.231	28.641	8.87517	0.33	5.37504	5.37504	2.90594	61.932	0.863636	43.854
28	121.7084	OK	Task[1].DOE[1]/Subflow[28]	504113.734	504058.05	29.196	14.136	13.0605	27.777	8.4483	0.33	4.47072	4.47072	3.10713	55.684	0.841189	35.847
29	127.3657	OK	Task[1].DOE[1]/Subflow[29]	504123.1	504059.432	31.4244	10.3152	13.392	35.604	8.80227	0.33	4.34064	4.34064	2.9202	63.668	0.877058	37.268
30	157.1256	OK	Task[1].DOE[1]/Subflow[30]	504139.967	504069.776	32.3784	10.7928	14.4525	35.937	8.4726	0.33	4.27536	4.27536	2.91059	70.191	0.887525	45.749
32	119.8319	OK	Task[1].DOE[1]/Subflow[32]	504182.471	504089.341	37.1556	13.1544	16.509	26.517	9.2907	0.33	4.95552	4.95552	3.00421	93.13	0.882911	45.248
33	131.9805	OK	Task[1].DOE[1]/Subflow[33]	504175.683	504090.43	31.662	13.632	14.685	28.707	9.25425	0.33	5.13648	5.13648	3.46208	85.253	0.861125	43.98
35	140.9877	OK	Task[1].DOE[1]/Subflow[35]	504181.26	504099.35	40.7376	10.236	12.0315	25.59	7.97202	0.33	4.78896	4.78896	3.51354	81.91	0.870469	46.792
44	158.3766	OK	Task[1].DOE[1]/Subflow[44]	504219.564	504140.118	40.6548	9.9168	15.5475	34.611	7.43418	0.33	4.72416	4.72416	3.02746	79.446	0.920814	55.954
46	152.3023	OK	Task[1].DOE[1]/Subflow[46]	504237.896	504154.756	28.4796	12.4908	15.945	28.242	8.13078	0.33	4.98432	4.98432	3.5557	83.14	0.849167	44.326
58	150.6343	OK	Task[1].DOE[1]/Subflow[58]	504228.827	504175.958	29.7504	9.5988	14.9835	33.15	6.97086	0.33	4.50672	4.50672	3.01816	52.869	0.865871	42.294
59	148.1184	OK	Task[1].DOE[1]/Subflow[59]	504274.408	504181.404	31.1832	10.3944	18.234	30.165	7.34913	0.33	5.17248	5.17248	3.06962	93.004	0.874677	48.092
60	124.2243	OK	Task[1].DOE[1]/Subflow[60]	504260.757	504181.591	31.0248	11.2968	17.4375	26.121	8.32599	0.33	5.25936	5.25936	3.42488	79.166	0.856018	41.49
65	130.5071	OK	Task[1].DOE[1]/Subflow[65]	504245.52	504185.212	39.9384	11.3232	12.5955	24.594	8.98533	0.33	4.79616	4.79616	2.76117	60.308	0.867413	44.722
66	126.5317	OK	Task[1].DOE[1]/Subflow[66]	504244.011	504185.853	36.1188	9.9432	13.6575	30.432	7.58079	0.33	5.38992	5.38992	3.48564	58.158	0.876664	41.368
67	153.3587	OK	Task[1].DOE[1]/Subflow[67]	504288.484	504188.521	39.78	12.1188	15.879	27.645	7.05591	0.33	5.4768	5.4768	2.88734	99.963	0.893842	55.219
72	138.6803	OK	Task[1].DOE[1]/Subflow[72]	504361.747	504289.486	38.5884	13.4988	12.0975	24.129	9.04608	0.33	4.84704	4.84704	3.33591	72.261	0.862007	47.738
78	122.9733	OK	Task[1].DOE[1]/Subflow[78]	504338.902	504289.298	38.9052	10.926	13.6575	31.626	7.12962	0.33	5.40432	5.40432	2.80798	49.604	0.894602	44.008
79	144.1291	OK	Task[1].DOE[1]/Subflow[79]	504375.328	504289.499	34.7652	14.64	12.927	32.289	7.54434	0.33	5.41152	5.41152	3.25655	85.829	0.882402	49.866
82	131.355	OK	Task[1].DOE[1]/Subflow[82]	504377.745	504289.443	42.4872	12.4644	17.5365	25.854	8.85087	0.33	4.23216	4.23216	3.21439	88.302	0.906059	56.657
84	129.8816	OK	Task[1].DOE[1]/Subflow[84]	504415.015	504306.736	38.6676	14.1624	14.22	30.963	7.26327	0.33	4.0944	4.0944	2.95275	108.279	0.898472	46.63
85	125.6977	OK	Task[1].DOE[1]/Subflow[85]	504381.608	504306.889	31.2624	10.9788	18.168	28.374	8.41104	0.33	5.23056	5.23056	2.73327	74.719	0.868451	43.274
86	132.8145	OK	Task[1].DOE[1]/Subflow[86]	504378.74	504309.966	38.0304	14.4276	16.542	27.315	7.05591	0.33	4.92672	4.92672	2.71901	68.774	0.892231	52.492
87	157.7511	OK	Task[1].DOE[1]/Subflow[87]	504400.664	504311.773	35.802	12.3576	16.7085	36.201	8.20368	0.33	4.60848	4.60848	3.40597	88.891	0.914695	56.209
88	136.8038	OK	Task[1].DOE[1]/Subflow[88]	504408.173	504339.012	29.9124	13.6848	18.1005	33.084	7.30053	0.33	4.85424	4.85424	3.22865	69.161	0.885244	48.641
89	126.7402	OK	Task[1].DOE[1]/Subflow[89]	504450.895	504361.837	34.8444	9.5724	17.9025	34.41	8.11863	0.33	5.064	5.064	3.19114	89.058	0.904949	45.651
90	153.5672	OK	Task[1].DOE[1]/Subflow[90]	504430.61	504375.445	28.7964	11.8536	12.297	28.575	7.81326	0.33	4.38384	4.38384	2.96205	55.165	0.835279	41.309
91	126.3232	OK	Task[1].DOE[1]/Subflow[91]	504435.316	504377.829	33.5736	9.9708	12.4965	23.997	7.7274	0.33	4.75296	4.75296	3.13038	57.487	0.835392	35.823
