"Status Code/Type"	"Row Name"	"Run #"	A	B	C	D	E11	E22	G12	G23	"Mapped Attributes and Options.Random Variable Attributes.DP_A"	"Mapped Attributes and Options.Random Variable Attributes.DP_B"	"Mapped Attributes and Options.Random Variable Attributes.DP_C"	"Mapped Attributes and Options.Random Variable Attributes.DP_D"	"Run #"	A	B	C	D	E11	E22	Eigval	G12	G23	Mass	"Run #"	"Uncertainty MCS Results.Percentiles.Eigval"	"Uncertainty MCS Results.Std Deviation.Eigval"	"Uncertainty MCS Results.Std Deviation.Mass"
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[1]"	1	39.034	10.8733	14.4324	24.697	139	8.1	4.8	3.1	39.034	10.8733	14.4324	24.697	0	39.16206348516712	10.813271627026259	14.345866775263822	24.455793821949058	139.44263081412274	7.921922532905876	48.45365916104373	5.285763269692598	3.2890217750411646	0.8701469640710995	425	43.075992348106055	2.012863130321253	0.000981700284931
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[2]"	2	30.559	10.7435	17.1592	35.772	139	8.1	4.8	3.1	30.559	10.7435	17.1592	35.772	0	30.598715191185075	10.817905210367805	17.17675320611642	35.85794538208537	145.39600696458706	8.219695436883553	45.82229514361251	4.568131313767339	3.099620578349038	0.8912595196897553	625	39.97441318264252	1.7801896004452493	0.0010293526863323
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[3]"	3	34.45	11.4402	16.8408	32.745	139	8.1	4.8	3.1	34.45	11.4402	16.8408	32.745	0	34.18845058043647	11.548380203632549	16.877824284047392	32.75864225637132	135.64129515152493	7.395696911449388	46.53672065907517	4.6395945130582605	3.108351306852193	0.893648165559486	500	43.54194463842143	1.9794820924138328	0.0010239198669066
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[4]"	4	34.177	12.7616	17.8919	28.529	139	8.1	4.8	3.1	34.177	12.7616	17.8919	28.529	0	33.827818372201214	12.633640376569016	17.80118134044714	28.629195648707018	137.57808309817332	7.488157717428999	49.303044323199344	4.880812755466666	3.0355887026222304	0.8814699661106781	650	45.85324864717257	2.136873775737742	0.0009805160765408
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[5]"	5	32.115	11.8727	13.2312	29.922	139	8.1	4.8	3.1	32.115	11.8727	13.2312	29.922	0	31.871178240659425	11.984969986859333	13.260288624476738	29.934466135139495	135.64129515152493	7.395696911449388	40.3429461592782	4.6395945130582605	3.108351306852193	0.8579456629636639	500	37.73641442003738	1.6567438556587435	0.0009271133329601
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[6]"	6	40.519	13.6072	14.5045	25.538	139	8.1	4.8	3.1	40.519	13.6072	14.5045	25.538	0	40.21137384814819	13.735871672424329	14.536387958289712	25.54863966844437	135.64129515152493	7.395696911449388	51.84585261899315	4.6395945130582605	3.108351306852193	0.8849763040275602	500	48.29694693241775	2.2590445550454508	0.0010168111139937
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[7]"	7	37.766	14.2751	15.0631	27.063	139	8.1	4.8	3.1	37.766	14.2751	15.0631	27.063	0	37.47927502527615	14.41008743246403	15.096216033266488	27.074275015549766	135.64129515152493	7.395696911449388	50.67315671194979	4.6395945130582605	3.108351306852193	0.8828247835485128	500	47.30496136284434	2.1980113618629136	0.0009883506898505
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[8]"	8	40.058	14.2895	14.6847	30.811	139	8.1	4.8	3.1	40.058	14.2895	14.6847	30.811	0	39.75387382731855	14.424623600969152	14.716984125691814	30.82383651125536	135.64129515152493	7.395696911449388	52.97191323739685	4.6395945130582605	3.108351306852193	0.9051489994293945	500	49.51589070780428	2.2863596783570053	0.0010646720525938
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[9]"	9	38.573	13.9387	16.3724	35.52	139	8.1	4.8	3.1	38.573	13.9387	16.3724	35.52	0	38.28014816369161	14.070506384886016	16.408394512620394	35.534798379792626	135.64129515152493	7.395696911449388	54.77666767419419	4.6395945130582605	3.108351306852193	0.9237581761843806	500	51.281148031427705	2.3008232945674116	0.0011095715857637
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[10]"	10	42.133	11.6853	15.7658	27.508	139	8.1	4.8	3.1	42.133	11.6853	15.7658	27.508	0	42.27123074295605	11.620788807748333	15.671272027206452	27.239339857236697	139.44263081412274	7.921922532905876	55.68669276750296	5.285763269692598	3.2890217750411646	0.9011052255880357	425	49.36886071247746	2.307419846361088	0.0010704820097591
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[11]"	11	33.341	10.1622	16.1562	30.631	139	8.1	4.8	3.1	33.341	10.1622	16.1562	30.631	0	33.450385783136674	10.106097406322483	16.05933128201251	30.331838707540253	139.44263081412274	7.921922532905876	45.13940545367171	5.285763269692598	3.2890217750411646	0.8753210543211547	425	40.29092098259092	1.8029097292202942	0.0009750979362403
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[12]"	12	29.838	10.0565	13.7237	30.354	139	8.1	4.8	3.1	29.838	10.0565	13.7237	30.354	0	29.876778162720647	10.12614732145612	13.737738820852949	30.426928159672908	145.39600696458706	8.219695436883553	40.36608371469009	4.568131313767339	3.099620578349038	0.8507401266025534	625	35.443690375847396	1.4790351778064263	0.0009174756769256
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[13]"	13	30.717	11.3682	12.5225	25.081	139	8.1	4.8	3.1	30.717	11.3682	12.5225	25.081	0	30.483792060356077	11.475699361106933	12.550030556564028	25.091449272623276	135.64129515152493	7.395696911449388	37.597304967834816	4.6395945130582605	3.108351306852193	0.82933407678996	500	35.17689409961049	1.5143977411344252	0.0008396529085277
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[14]"	14	42.724	13.0547	13.5856	32.3	139	8.1	4.8	3.1	42.724	13.0547	13.5856	32.3	0	42.39963316686698	13.178147151654851	13.615467768357455	32.31345686000286	135.64129515152493	7.395696911449388	53.132648167592606	4.6395945130582605	3.108351306852193	0.9153500010541737	500	49.68123312000739	2.2792286837623346	0.0011228399750594
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[15]"	15	39.726	9.8306	12.9489	33.718	139	8.1	4.8	3.1	39.726	9.8306	12.9489	33.718	0	39.42439441969286	9.923559590726573	12.977367991526606	33.73204762865562	135.64129515152493	7.395696911449388	44.96887645139668	4.6395945130582605	3.108351306852193	0.9011485440294792	500	42.038556656258976	1.8827992322876428	0.0011015264157786
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[16]"	16	39.092	11.9015	16.8168	28.805	139	8.1	4.8	3.1	39.092	11.9015	16.8168	28.805	0	38.79520784007031	12.01404232386958	16.853771520353437	28.817000769423604	135.64129515152493	7.395696911449388	51.36552784131118	4.6395945130582605	3.108351306852193	0.8981953746376041	500	47.909138170221176	2.2346433007129125	0.0010448328496258
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[17]"	17	31.957	12.4541	13.9339	32.24	139	8.1	4.8	3.1	31.957	12.4541	13.9339	32.24	0	31.714377799680936	12.571867790253677	13.96453350146596	32.2534318627397	135.64129515152493	7.395696911449388	41.93612512150003	4.6395945130582605	3.108351306852193	0.8703298102208182	500	39.22415522114047	1.7292614304850422	0.0009586828012764
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[18]"	18	42.58	10.3351	15.4474	35.76	139	8.1	4.8	3.1	42.58	10.3351	15.4474	35.76	0	42.25672643584861	10.432830216478974	15.481360911915923	35.77489836884527	135.64129515152493	7.395696911449388	52.53870398859999	4.6395945130582605	3.108351306852193	0.9327077615475003	500	49.31279490120478	2.226528165143652	0.0011838744954552
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[19]"	19	39.193	10.0949	12.012	27.58	139	8.1	4.8	3.1	39.193	10.0949	12.012	27.58	0	38.89544103335403	10.190358850164351	12.038408228823885	27.59149040863402	135.64129515152493	7.395696911449388	42.94670072880558	4.6395945130582605	3.108351306852193	0.870513087421378	500	40.065863930127264	1.8129147701675623	0.0010092654548951
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[20]"	20	39.64	13.4438	17.8018	30.102	139	8.1	4.8	3.1	39.64	13.4438	17.8018	30.102	0	39.33904734422356	13.57092653813703	17.840937030292793	30.114541126928984	135.64129515152493	7.395696911449388	56.66942503680775	4.6395945130582605	3.108351306852193	0.9123904388807849	500	52.91684446139982	2.4246279907294603	0.001071349600984
OK	"Task[1].Design Space DOE[1].Uncertainty MCS[21]"	21	33.859	13.9147	13.1592	24.444	139	8.1	4.8	3.1	33.859	13.9147	13.1592	24.444	0	33.601937538548576	14.046279437377477	13.188130333394877	24.454183885012693	135.64129515152493	7.395696911449388	43.31560387639456	4.6395945130582605	3.108351306852193	0.8477805871715143	500	40.36864987786026	1.862930329878618	0.0008843276512398
