Config	A	B	C	D	MeanLoad	MeanMass	ReliableLoad	SDLoad
1	28.8	12.14852514	12	24	38.67372328	0.817500355	32.95063103	1.745394834
1	30.13294935	14.41996559	12	24	41.5484217	0.827499962	35.69746027	1.830640952
1	28.8	14.41996559	15.72898059	24	44.7157706	0.837500001	38.72435384	1.924277841
1	28.86180915	14.41996559	18	24	48.22304844	0.847499982	42.06812197	2.033284313
1	31.23516319	14.41996559	18	24	51.19746803	0.857500006	44.8768938	2.143716152
1	33.61095761	14.41996559	18	24	54.41838329	0.867500008	47.96194436	2.234292618
1	35.95841434	14.41996559	18	24	57.37418677	0.877500205	50.76606798	2.33541253
1	38.28862232	14.41996559	18	24	60.06210444	0.8875	53.28519252	2.447941283
1	40.65250712	14.41996559	18	24	62.95310708	0.897499999	56.03069408	2.544942002
1	43.2	14.41996559	17.96668389	24	67.16995732	0.9075	60.23370262	2.554169803
1	43.2	14.41996559	18	26.60133876	67.7354436	0.917500111	60.7450682	2.590250267
1	43.2	14.41996559	18	29.19384078	68.14268272	0.927500003	61.09965101	2.625354471
1	43.2	14.41996559	18	31.77759127	68.55122678	0.9375	61.46157824	2.656432359
1	43.2	14.41996559	18	34.3550349	68.99915311	0.947499997	61.87042342	2.68248646
2	28.8	12.14842187	12	24	38.67364695	0.81750016	32.95055897	1.745391987
2	28.8	14.41996559	13.36699355	24	41.71721198	0.827500016	35.88904111	1.815447249
2	28.8	14.41996559	15.72898059	24	44.71577061	0.837500001	38.72435384	1.924277841
2	28.8618133	14.41996559	18	24	48.22305296	0.8475	42.06812613	2.033284556
2	31.23516319	14.41996559	18	24	51.19746802	0.857500006	44.8768938	2.143716152
2	33.61095859	14.41996559	18	24	54.41838458	0.867500012	47.96194559	2.234292656
2	35.95836659	14.41996559	18	24	57.37412983	0.8775	50.76601438	2.3354103
2	38.28862051	14.41996559	18	24	60.06210236	0.887499992	53.28519057	2.447941196
2	40.65250729	14.41996559	18	24	62.95310732	0.8975	56.03069431	2.544942008
2	43.2	14.41996559	17.96668388	24	67.16995729	0.9075	60.23370259	2.5541698
2	43.2	14.41996559	18	26.60132751	67.73544174	0.917500068	60.74506657	2.590250116
2	43.2	14.41996559	18	29.19383987	68.14268258	0.9275	61.09965089	2.625354459
2	43.2	14.41996559	18	31.7775916	68.55122683	0.937500001	61.46157829	2.656432362
2	43.2	14.41996559	18	34.35503505	68.99915314	0.947499998	61.87042345	2.682486461
3	28.8	12.14852507	12	24	38.67372323	0.817500355	32.95063098	1.745394832
3	28.8	14.41996559	13.3669905	24	41.71720853	0.827500003	35.88903796	1.815447049
3	31.87621328	14.41996559	12.67653706	24	44.03818579	0.837500824	38.10215228	1.887355671
3	28.8618133	14.41996559	18	24	48.22305296	0.8475	42.06812612	2.033284556
