A	B	C	D	MeanLoad	MeanMass	ReliableLoad	SDLoad
28.80000909	9.614886678	12.00860638	24.00049451	37.19452377	0.813056669	32.1183374	1.692075099
28.80000909	9.614886678	12.02140076	24.00049451	37.1971154	0.813105988	32.12324704	1.691302424
28.80000909	9.622882139	12.02140076	24.0021069	37.20106616	0.813127168	32.12700836	1.69136557
28.80000665	9.622882139	12.02140076	24.00217972	37.2010795	0.813127441	32.12702341	1.691365002
28.80000909	9.622882139	12.02140076	24.00217972	37.20108088	0.813127452	32.1270245	1.691365098
28.80000909	9.622882139	12.02140076	24.00257516	37.20116082	0.81312899	32.12711213	1.691362534
28.80000909	9.622882139	12.02228525	24.00217972	37.20126307	0.813130864	32.12736412	1.691312621
28.80000909	9.622882139	12.02140076	24.00810016	37.20227726	0.813150485	32.12833585	1.691326773
28.80000909	9.622882139	12.0296451	24.00011831	37.20237313	0.813151255	32.12973056	1.690893821
28.80000909	9.622882139	12.03554094	24.00217972	37.20402705	0.813182053	32.13244574	1.690540068
28.80000909	9.622882139	12.03554094	24.00217972	37.20402705	0.813182053	32.13244574	1.690540068
28.80000909	9.622882139	12.03554094	24.00217972	37.20402705	0.813182053	32.13244574	1.690540068
28.80000909	9.622882139	12.04052525	24.00074134	37.2047917	0.813195728	32.13403387	1.690265572
28.80139806	9.622882139	12.02140076	24.01934653	37.20533234	0.813200157	32.13144497	1.691308758
28.80000909	9.684236563	12.02140076	24.0021069	37.22899338	0.813240815	32.15317392	1.691952796
28.81721995	9.658586718	12.03554094	24.00217972	37.2301079	0.813321595	32.15548524	1.69155386
28.80000322	9.70387618	12.03974432	24.00219791	37.24200747	0.813348112	32.16877368	1.691090899
28.80000322	9.70387618	12.03974432	24.012103	37.24399921	0.813386613	32.17095793	1.691026731
28.80000322	9.70387618	12.03974432	24.012103	37.24399921	0.813386613	32.17095793	1.691026731
28.80000322	9.70387618	12.03974432	24.01211102	37.24400082	0.813386644	32.17095969	1.691026679
28.80000322	9.70387618	12.03974432	24.01211102	37.24400082	0.813386644	32.17095969	1.691026679
28.80000661	9.70387618	12.03974432	24.01211102	37.24400276	0.813386659	32.17096122	1.691026813
28.80000661	9.70387618	12.03974432	24.01211102	37.24400276	0.813386659	32.17096122	1.691026813
28.80000661	9.70387618	12.03974432	24.01211102	37.24400276	0.813386659	32.17096122	1.691026813
28.80002671	9.70387618	12.03974432	24.01211102	37.2440142	0.813386744	32.17097029	1.691027605
28.8479394	9.659299513	12.03554094	24.00133295	37.24789455	0.813450318	32.16965498	1.692759504
28.80252923	9.777668945	12.01945657	24.01211164	37.2749559	0.813453606	32.19577744	1.693072471
28.81945371	9.796784073	12.02480612	24.0026284	37.2928529	0.813544039	32.21179531	1.693698851
