A	B	C	D	MeanMass	MeanLoad	ReliableLoad	SDLoad
28.66992948	12.71592351	15.01045461	34.28737448	0.870891303	42.61920275	33.19844077	1.884152396
28.68392948	11.59162351	16.27775461	35.24837448	0.878563408	43.15959917	34.0585627	1.820207295
28.69892948	10.50572351	16.95045461	30.46837448	0.860899826	41.93950877	32.92307577	1.803286599
28.71292948	12.58142351	15.56905461	28.14937448	0.849161435	42.32330284	32.85185271	1.894290027
28.72792948	12.60542351	17.55705461	30.31137448	0.86613734	45.82552615	36.11088862	1.942927506
28.81321614	10.97817661	13.10690943	31.50312158	0.849427192	40.37843788	31.90235732	1.695216112
28.82721614	11.71337661	13.40120943	33.75012158	0.860735956	41.31400468	32.61558199	1.739684537
28.77092948	13.18682351	15.63505461	27.06837448	0.846593908	42.92431495	33.17267294	1.950328401
28.76315709	13.73862292	12.42236974	25.78633242	0.82821258	40.59513789	31.85015988	1.748995603
28.79992948	13.38862351	15.55105461	28.78637448	0.853347588	43.32056715	33.55130448	1.953852534
28.79215709	14.31522292	13.21516974	34.31433242	0.865770673	42.68263716	33.51090042	1.834347348
28.90021614	9.829876605	13.53340943	27.85212158	0.835427912	39.41730918	30.95739308	1.69198322
28.82115709	13.08522292	12.60856974	29.58233242	0.842805962	40.88879102	32.25983135	1.725791934
28.92821614	9.805876605	15.29310943	30.01412158	0.851590578	40.98523302	32.20471206	1.756104193
28.87192948	12.39402351	17.95945461	31.56137448	0.873004981	46.92245952	37.12915309	1.958661286
28.86415709	10.17832292	12.30826974	25.44933242	0.820853795	38.10714578	29.86125309	1.649178538
28.90092948	10.85642351	15.83925461	31.88537448	0.863145465	42.11553973	33.25744032	1.771619882
28.91492948	13.06672351	16.37385461	28.94237448	0.857359981	44.56243353	35.0047432	1.911538066
28.90715709	10.27442292	15.74966974	27.27533242	0.842993388	40.98230143	32.29640641	1.737179004
28.92215709	13.02752292	13.32326974	31.91233242	0.855307569	41.63653427	32.80833996	1.765638863
29.02921614	10.93497661	12.93880943	31.73212158	0.850476044	40.36367379	31.90595825	1.691543108
28.97292948	9.881123515	16.90235461	28.52237448	0.853204291	41.34741903	32.43090295	1.783303217
28.98692948	11.86552351	14.98645461	34.75637448	0.872761343	42.34693987	33.09997327	1.849393321
28.98015709	10.54352292	14.64456974	25.52233242	0.832119366	40.14307964	31.41921826	1.744772276
29.08721614	13.57757661	16.80060943	31.07112158	0.868656116	46.93306657	37.26334143	1.933945029
29.00815709	11.87442292	12.53046974	29.84633242	0.842356193	40.23463338	31.83338738	1.6802492
29.02315709	11.75912292	12.80076974	32.05633242	0.852141884	40.68247864	32.25868716	1.684758297
29.05892948	12.07212351	15.05855461	29.03837448	0.851073378	41.7553565	32.4227111	1.86652908
29.14521614	10.66587661	12.78860943	31.92412158	0.850716267	40.15454938	31.73780438	1.683348998
29.08792948	11.75972351	16.48795461	25.60337448	0.843334719	42.54109708	33.18317103	1.871585209
29.10192948	12.61022351	17.02245461	24.85837448	0.844278749	44.37191925	34.73902521	1.926578808
29.11692948	13.07632351	14.62605461	26.64837448	0.841992618	41.76947862	32.23035458	1.907824808
29.10915709	13.84442292	12.93286974	33.01733242	0.860070368	42.17209036	33.1688836	1.80064135
29.14592948	13.33092351	14.23565461	25.44637448	0.836323975	41.60226637	32.14117087	1.8922191
29.15992948	12.01442351	16.91435461	24.91837448	0.843230978	43.28972996	33.74031934	1.909882124
29.15315709	10.89902292	13.95986974	28.63333242	0.842798472	40.46879972	31.88062543	1.717634857
29.16715709	10.32242292	14.07996974	28.23633242	0.840934222	40.13291211	31.57152548	1.712277327
29.18115709	14.42092292	16.93286974	26.41033242	0.852887087	47.74943041	37.97106581	1.95567292
29.21792948	10.02042351	17.37085461	34.81637448	0.88166631	43.26212422	34.0172776	1.848969324
29.30321614	13.50077661	17.70150943	27.80412158	0.860550714	48.52460192	38.70263419	1.964393546
29.24692948	13.37422351	16.12155461	33.41037448	0.875607177	45.78213549	36.15863002	1.924701093
29.23915709	10.33202292	13.39536974	24.09233242	0.821952645	39.07854861	30.69278936	1.677151848
29.25315709	13.02272292	12.78866974	31.32333242	0.852106197	41.41421558	32.68331203	1.746180709
29.26815709	14.34412292	13.65356974	32.71733242	0.863491544	42.96639446	33.46758499	1.899761894
29.30392948	14.21982351	15.64715461	25.14637448	0.843519291	44.83521284	34.80030626	2.006981315
29.31892948	12.14892351	12.27775461	30.96037448	0.84802642	40.67112296	32.11005455	1.712213682
29.33292948	10.62102351	16.67415461	27.62137448	0.851246343	41.97954864	32.85101734	1.825706259
29.41821614	9.973976605	17.73160943	32.21212158	0.873050288	43.51306358	34.08596407	1.885419903
29.34015709	12.37412292	12.57246974	27.80433242	0.836731414	40.43019326	31.89072868	1.707892916
29.37592948	12.08652351	16.37985461	24.79837448	0.84154511	43.08129782	33.55678029	1.904903507
29.36915709	11.20172292	14.41636974	27.38333242	0.841173677	40.79933823	31.96226424	1.767414799
29.38315709	10.80292292	15.85176974	29.71433242	0.855908105	41.97263632	33.10262594	1.774002076
29.39815709	11.68702292	13.06496974	29.44933242	0.844436439	40.62617433	32.13703789	1.697827288
29.43392948	12.05282351	17.11255461	24.47437448	0.843567987	43.95766194	34.33584818	1.924362753
29.42615709	11.60532292	15.14906974	30.08633242	0.855775614	41.87443494	32.7125013	1.832386729
29.46292948	12.15852351	16.18165461	26.73237448	0.848695128	43.34402397	33.83432143	1.901940508
29.47692948	11.90872351	17.50895461	29.77137448	0.865858587	45.33644703	35.59859938	1.94756953
29.49192948	13.62882351	14.33175461	27.23637448	0.845612139	42.44916629	32.77045147	1.935742965
29.48415709	12.91222292	14.60256974	30.45833242	0.85727055	42.29665569	32.88585837	1.882159465
29.59121614	10.02207661	13.52140943	33.01712158	0.859261239	40.56197927	32.01097628	1.710200598
29.51315709	14.16152292	16.30226974	24.60933242	0.844318239	46.08567588	36.22364674	1.972405827
29.54892948	13.00422351	14.59605461	25.66337448	0.839786634	41.98307819	32.37588276	1.921439086
29.54215709	14.27682292	17.50346974	25.94233242	0.854711634	49.10287589	39.26759794	1.967055591
29.57792948	13.31172351	13.04655461	35.63337448	0.872598769	42.67019051	33.52284243	1.829469616
29.59292948	13.68652351	16.56605461	33.98737448	0.881719949	47.83681518	38.10694344	1.945974348
29.67821614	10.23827661	17.41320943	35.61212158	0.886862226	44.15029437	34.66877587	1.8963037
29.59915709	11.37472292	14.86076974	28.76533242	0.849726894	41.4566076	32.36869538	1.817582445
29.63592948	12.40362351	12.78225461	33.27837448	0.861053239	41.64186115	32.86397022	1.755578186
29.62815709	12.17712292	14.48836974	26.87933242	0.842219861	41.42610363	32.25672511	1.833875705
29.64315709	11.71102292	14.48236974	25.69033242	0.836829158	41.03533224	31.99340743	1.808384961
29.65715709	14.34892292	13.54546974	31.79233242	0.861095729	43.01899177	33.41711025	1.920376304
29.67115709	11.77352292	15.28716974	24.77733242	0.836879944	41.61282433	32.26859053	1.86884676
29.70792948	13.58562351	12.82425461	35.56137448	0.872335325	42.81218102	33.6189026	1.838655686
29.79321614	10.11337661	11.97180943	33.17312158	0.854248975	39.52272686	31.14394353	1.675756667
29.73692948	13.72012351	14.90235461	29.99937448	0.859846507	43.97970183	34.15060709	1.965818946
29.75092948	12.11052351	16.21165461	33.74737448	0.877529321	44.59858671	35.15291288	1.889134765
29.83621614	13.76017661	17.54540943	32.12812158	0.879369137	50.22606875	40.22802588	1.999608573
29.77992948	12.03842351	15.40085461	30.52837448	0.861353846	42.97384168	33.38666217	1.917435902
29.79392948	12.54772351	15.41285461	31.92137448	0.867743849	43.72726156	34.01300303	1.942851706
29.88021614	14.14457661	12.19400943	32.46412158	0.858790691	42.49895476	33.26740183	1.846310586
29.80115709	12.72962292	14.71066974	28.65733242	0.851746237	42.29831356	32.8216726	1.895328193
29.81615709	13.03712292	16.57846974	25.06533242	0.846365357	45.20664935	35.53327093	1.934675684
29.85192948	13.59042351	14.86035461	24.38937448	0.838450489	43.11665806	33.22085701	1.979160209
29.86592948	13.40782351	14.38585461	29.92737448	0.857387219	43.02501684	33.32121296	1.940760777
29.95221614	9.685676605	15.22110943	29.67812158	0.85411127	41.15347079	32.15763512	1.799167135
29.96621614	9.825076605	13.37120943	33.07712158	0.86020163	40.48410629	31.95967409	1.704886439
29.90992948	11.05822351	16.59605461	35.06837448	0.883699125	44.03403156	34.72582927	1.861640459
29.90215709	13.60412292	13.98386974	32.88533242	0.86702547	43.07766649	33.53886439	1.907760421
29.91615709	13.64262292	16.83076974	32.24833242	0.876717311	48.10122454	38.42023706	1.936197497
30.02421614	14.34637661	12.52440943	30.44612158	0.853341389	42.69833879	33.28015245	1.883637267
30.03821614	11.43467661	12.45830943	32.10412158	0.854907582	40.878991	32.32518777	1.710760645
29.96015709	14.55072292	16.37426974	28.74133242	0.862999181	48.44730656	38.47871103	1.993719106
30.06721614	12.38597661	13.71960943	29.49712158	0.851618528	41.83782109	32.61467852	1.844628513
29.98915709	10.49542292	12.92686974	27.55233242	0.837042259	39.77395304	31.40903458	1.672983691
30.09621614	13.84667661	12.66850943	30.72312158	0.854461068	42.43387223	33.08593249	1.869587949
30.03892948	11.49552351	16.72215461	35.87337448	0.888582331	45.00461469	35.53149115	1.894624709
30.03215709	11.06242292	15.55146974	30.09833242	0.859280416	42.35383101	33.12605206	1.84555579
30.04615709	11.66782292	14.50046974	26.93933242	0.843410031	41.44730186	32.30396886	1.8286666
30.15421614	11.77097661	11.97780943	32.39212158	0.854998871	40.82701412	32.27670257	1.71006231
30.07515709	14.20952292	15.68356974	32.69333242	0.875190501	47.05285111	37.23446351	1.963677521
30.30661638	14.00128573	17.20138477	29.94266763	0.872656983	50.40814256	40.39897701	2.001833109
30.10415709	12.83052292	14.99286974	26.36233242	0.84551665	42.76278722	33.07448561	1.937660322
30.13992948	13.65762351	13.11855461	24.00537448	0.830843894	41.76844527	32.37113289	1.879462476
30.15492948	12.16342351	17.47295461	32.89437448	0.881288831	47.27931726	37.45464909	1.964933634
30.14715709	14.56512292	16.53046974	32.54933242	0.879129567	49.66318181	39.66991476	1.99865341
30.18392948	10.76522351	15.87535461	32.52237448	0.871161877	43.01856337	33.71548664	1.860615347
30.19792948	11.26972351	17.49695461	31.63337448	0.875263181	45.59744769	35.85440754	1.948608031
30.21192948	11.94232351	16.80025461	32.47437448	0.87669694	45.54862368	35.99187563	1.911349611
30.22692948	11.06312351	17.29275461	26.01137448	0.851988344	44.0266509	34.40318949	1.924692282
30.24092948	12.16822351	17.05855461	24.05337448	0.845335025	45.26333799	35.54613197	1.943441205
30.23415709	11.05762292	14.47636974	27.04733242	0.843534369	41.17050052	32.1360494	1.806890223
30.34121614	10.15657661	12.17000943	30.80712158	0.847997618	39.71365336	31.30869149	1.680992374
30.26215709	12.53262292	13.52146974	30.73533242	0.856441013	41.97909484	32.92159288	1.811500392
30.37021614	9.810676605	17.89370943	30.15812158	0.869307878	44.49440659	34.99749262	1.899382794
30.29115709	14.20472292	13.41936974	31.50333242	0.861877734	43.27881551	33.585784	1.938606303
30.30615709	11.53802292	15.57546974	27.98433242	0.852907136	42.75909653	33.27573765	1.896671776
30.34192948	12.25942351	12.71615461	30.07137448	0.850907614	41.42184959	32.55831675	1.772706568
30.33415709	12.85462292	16.18206974	29.32933242	0.863031674	45.66035927	35.95019996	1.942031862
30.34915709	13.28702292	16.55446974	25.31733242	0.849955893	46.50876779	36.69213548	1.963326462
30.58061638	13.39588573	17.58578477	28.40566763	0.868420097	50.15955241	40.21812652	1.988285177
30.47121614	10.46407661	14.63850943	33.78612158	0.871411502	41.99169275	32.78319021	1.841700508
30.39215709	13.77232292	16.60856974	34.09833242	0.885222674	48.8721787	39.05843341	1.96274906
30.50021614	13.90917661	12.39820943	28.74112158	0.847481193	42.34640475	32.98016506	1.873247937
30.42115709	12.13862292	14.84276974	25.48533242	0.841597248	42.24272598	32.72286875	1.903971446
30.45692948	12.22582351	17.02845461	27.03237448	0.857772744	46.12213297	36.39876635	1.944673323
30.47192948	12.04322351	12.34385461	30.49237448	0.851193849	41.16588966	32.44506913	1.744164105
30.55721614	13.27007661	12.14000943	29.97812158	0.850292595	41.83744403	32.73816547	1.819855712
30.57221614	13.02027661	12.74660943	25.28112158	0.834374971	41.45763113	32.24279419	1.842967389
30.51492948	11.34652351	16.20565461	32.97837448	0.876597568	44.41793148	34.90527962	1.902530371
30.50715709	11.78792292	16.03796974	25.73833242	0.847353445	43.58582175	33.98603059	1.919958234
30.52215709	14.57952292	18.01996974	31.19133242	0.881754694	52.75203013	42.47518239	2.055369549
30.53615709	13.79632292	13.32926974	29.26933242	0.853195549	42.77096458	33.20460306	1.913272304
30.64421614	9.916376605	15.46130943	31.49112158	0.865658959	42.08541711	32.8056056	1.855962304
30.65821614	9.849076605	12.61440943	33.99012158	0.863634292	40.40474233	31.9444803	1.692052406
30.60192948	12.32672351	14.57805461	33.37437448	0.873060162	43.46702207	33.8265862	1.928087175
30.59415709	11.21132292	15.67156974	24.86133242	0.841766381	42.44308378	32.94382832	1.899851093
30.60815709	14.35372292	17.82176974	32.33233242	0.885329314	52.29992794	42.07057504	2.04587058
30.64492948	12.25462351	17.61105461	33.62737448	0.886978857	48.65510899	38.70738486	1.989544827
30.65892948	10.04442351	16.44595461	30.90037448	0.868139159	43.01364872	33.66956447	1.86881685
30.67392948	10.87572351	16.68615461	34.22737448	0.883703347	44.77510161	35.27730613	1.899559095
30.68792948	13.10512351	17.11855461	31.87337448	0.879480532	49.08117517	39.1636052	1.983513994
30.77321614	13.23647661	16.86070943	34.79512158	0.890034079	49.36815576	39.42356371	1.988918411
30.78821614	13.10197661	12.63850943	26.74712158	0.840613238	41.7860943	32.5162734	1.85396418
30.73092948	11.48592351	16.94445461	29.95137448	0.868831247	45.49432339	35.8401381	1.930837058
30.72415709	13.27742292	15.32326974	27.86433242	0.85612638	44.97471562	35.08107811	1.978727501
