A	B	C	D	MeanMass	MeanLoad	ReliableLoad	SDLoad
28.66992948	12.71442351	17.15505461	28.62767448	0.857809547	44.76485507	38.99698329	1.922638671
28.67712948	11.59302351	17.63525461	32.36757448	0.872801067	44.45998252	38.59403854	1.955329657
28.66255709	10.67992292	15.29456974	26.45753242	0.83740995	40.68930587	35.45054781	1.746266079
28.69152948	12.57752351	14.07845461	35.52517448	0.871747531	42.23155188	36.75829522	1.82443288
28.69872948	12.60392351	15.15905461	35.84927448	0.877664473	42.97439712	37.32191958	1.884173631
28.68415709	11.21542292	15.77486974	29.56713242	0.852646291	41.74615487	36.49608961	1.750035177
28.71312948	11.77072351	16.84285461	33.46017448	0.874214632	43.55815025	37.92827026	1.876641054
28.69855709	13.35732292	13.58376974	31.07383242	0.852738034	41.69877648	36.3168919	1.793975286
28.79881614	13.48917661	12.83620943	26.00712158	0.830847537	40.87814783	35.51693814	1.787083601
28.73472948	13.38432351	14.38465461	25.80027448	0.836663129	41.44173686	35.78286614	1.886304706
28.72015709	14.31302292	17.19156974	27.37603242	0.855508919	47.52494815	41.72019941	1.934931088
28.82041614	9.805676605	13.85370943	27.00362158	0.833044468	39.46349165	34.33908908	1.708147291
28.75632948	12.89922351	14.75385461	33.26207448	0.866416191	42.42108205	36.76298053	1.886048304
28.74175709	10.02202292	15.01546974	24.96883242	0.829676276	39.90800381	34.69852136	1.736507466
28.77082948	12.37822351	15.77435461	26.88087448	0.84499898	42.31233541	36.66169056	1.88356273
28.84931614	9.904176605	12.64710943	28.99062158	0.83607605	38.92302097	33.92431153	1.666249258
28.78522948	10.82702351	15.93645461	29.31807448	0.852802629	41.756621	36.47461693	1.760681528
28.79242948	13.05292351	14.45365461	28.49567448	0.846969149	41.63285917	36.00869041	1.874737298
28.77785709	10.23812292	13.63776974	24.29043242	0.821667919	38.99336192	33.95868896	1.678237188
28.80682948	12.83682351	15.92445461	35.40507448	0.879944383	44.33101962	38.65739203	1.891223702
28.81402948	10.96632351	15.81935461	32.39157448	0.864868432	42.17538949	36.85471933	1.773570321
28.89251614	9.767276605	14.21090943	28.67242158	0.841450256	39.96985365	34.78046808	1.729808456
28.82842948	11.83792351	17.38315461	30.14647448	0.863963472	44.0823314	38.26944818	1.9376426
28.90691614	10.25477661	12.66210943	30.13112158	0.841430137	39.39136316	34.37884252	1.670853025
28.84282948	13.63402351	15.48015461	30.96287448	0.862079261	43.91976727	38.05761104	1.954067062
28.82825709	11.83732292	14.92536974	28.13243242	0.84498629	41.17324945	35.76762693	1.801887992
28.85722948	11.54262351	15.98745461	33.21397448	0.869858259	42.78647978	37.35571127	1.810270056
